,University,Country,uni-country,codes
406,UiT The Arctic University of Norway,Norway,"UiT The Arctic University of Norway, NOR", NOR
407,"City, University of London",United Kingdom,"City, University of London, GBR", University of London
408,University of Peradeniya,Sri Lanka,"University of Peradeniya, LKA", LKA
409,Harbin Institute of Technology,China,"Harbin Institute of Technology, CHN", CHN
410,University of Missouri-Columbia,United States,"University of Missouri-Columbia, USA", USA
411,Norwegian University of Science and Technology,Norway,"Norwegian University of Science and Technology, NOR", NOR
412,American University,United States,"American University, USA", USA
413,Georgia State University,United States,"Georgia State University, USA", USA
414,Sabanc? University,Turkey,"Sabanc? University, TUR", TUR
415,Aberystwyth University,United Kingdom,"Aberystwyth University, GBR", GBR
416,University of Alabama,United States,"University of Alabama, USA", USA
417,University of Bordeaux,France,"University of Bordeaux, FRA", FRA
418,Drexel University,United States,"Drexel University, USA", USA
419,Pontifical Javeriana University,Colombia,"Pontifical Javeriana University, COL", COL
420,University of Strathclyde,United Kingdom,"University of Strathclyde, GBR", GBR
421,Centrale Nantes,France,"Centrale Nantes, FRA", FRA
422,University of St Gallen,Switzerland,"University of St Gallen, CHE", CHE
423,University of Desarrollo,Chile,"University of Desarrollo, CHL", CHL
424,Rensselaer Polytechnic Institute,United States,"Rensselaer Polytechnic Institute, USA", USA
425,University of South Carolina-Columbia,United States,"University of South Carolina-Columbia, USA", USA
426,Diego Portales University,Chile,"Diego Portales University, CHL", CHL
427,Indian Institute of Technology Delhi,India,"Indian Institute of Technology Delhi, IND", IND
428,Middlesex University,United Kingdom,"Middlesex University, GBR", GBR
429,Tongji University,China,"Tongji University, CHN", CHN
430,Hong Kong Baptist University,Hong Kong,"Hong Kong Baptist University, HKG", HKG
431,Sciences Po,France,"Sciences Po, FRA", FRA
432,University of Urbino Carlo Bo,Italy,"University of Urbino Carlo Bo, ITA", ITA
433,Central South University,China,"Central South University, CHN", CHN
434,University of Cyprus,Cyprus,"University of Cyprus, CYP", CYP
435,Quaid-i-azam University,Pakistan,"Quaid-i-azam University, PAK", PAK
436,University of Victoria,Canada,"University of Victoria, CAN", CAN
437,Aswan University,Egypt,"Aswan University, EGY", EGY
438,University of Modena and Reggio Emilia,Italy,"University of Modena and Reggio Emilia, ITA", ITA
439,University of Trieste,Italy,"University of Trieste, ITA", ITA
440,Liverpool John Moores University,United Kingdom,"Liverpool John Moores University, GBR", GBR
441,Polytechnic University of Bari,Italy,"Polytechnic University of Bari, ITA", ITA
442,Semmelweis University,Hungary,"Semmelweis University, HUN", HUN
443,Federal University of Toulouse Midi-PyrïṡẄnïṡẄes,France,"Federal University of Toulouse Midi-PyrïṡẄnïṡẄes, FRA", FRA
444,University of Porto,Portugal,"University of Porto, PRT", PRT
445,University of Saskatchewan,Canada,"University of Saskatchewan, CAN", CAN
446,Free University of Bozen-Bolzano,Italy,"Free University of Bozen-Bolzano, ITA", ITA
447,University of Genoa,Italy,"University of Genoa, ITA", ITA
448,Kyushu University,Japan,"Kyushu University, JPN", JPN
449,SOAS University of London,United Kingdom,"SOAS University of London, GBR", GBR
450,University of Strasbourg,France,"University of Strasbourg, FRA", FRA
451,Fujita Health University,Japan,"Fujita Health University, JPN", JPN
452,Bangor University,United Kingdom,"Bangor University, GBR", GBR
453,ïṡẄcole des Mines de Saint-ïṡẄtienne,France,"ïṡẄcole des Mines de Saint-ïṡẄtienne, FRA", FRA
454,Hunan University,China,"Hunan University, CHN", CHN
455,University of Tulsa,United States,"University of Tulsa, USA", USA
456,University of Bari Aldo Moro,Italy,"University of Bari Aldo Moro, ITA", ITA
457,Edith Cowan University,Australia,"Edith Cowan University, AUS", AUS
458,Murdoch University,Australia,"Murdoch University, AUS", AUS
459,University of Pavia,Italy,"University of Pavia, ITA", ITA
460,Indian Institute of Technology Kharagpur,India,"Indian Institute of Technology Kharagpur, IND", IND
461,University of Houston,United States,"University of Houston, USA", USA
462,University of Ferrara,Italy,"University of Ferrara, ITA", ITA
463,Indian Institute of Technology Bombay,India,"Indian Institute of Technology Bombay, IND", IND
464,Oklahoma State University,United States,"Oklahoma State University, USA", USA
465,University of Valencia,Spain,"University of Valencia, ESP", ESP
466,Bond University,Australia,"Bond University, AUS", AUS
467,Covenant University,Nigeria,"Covenant University, NGA", NGA
468,Mansoura University,Egypt,"Mansoura University, EGY", EGY
469,Bournemouth University,United Kingdom,"Bournemouth University, GBR", GBR
470,Hokkaido University,Japan,"Hokkaido University, JPN", JPN
471,"Colorado State University, Fort Collins",United States,"Colorado State University, Fort Collins, USA", Fort Collins
472,University of Kentucky,United States,"University of Kentucky, USA", USA
473,University of Portsmouth,United Kingdom,"University of Portsmouth, GBR", GBR
474,New Mexico Institute of Mining and Technology,United States,"New Mexico Institute of Mining and Technology, USA", USA
475,University of Tsukuba,Japan,"University of Tsukuba, JPN", JPN
476,Charles University in Prague,Czech Republic,"Charles University in Prague, CZE", CZE
477,Leibniz University Hanover,Germany,"Leibniz University Hanover, DEU", DEU
478,Teikyo University,Japan,"Teikyo University, JPN", JPN
479,University of Texas at San Antonio,United States,"University of Texas at San Antonio, USA", USA
480,Verona University,Italy,"Verona University, ITA", ITA
481,Yasouj University,Iran,"Yasouj University, IRN", IRN
482,University of Catania,Italy,"University of Catania, ITA", ITA
483,Missouri University of Science and Technology,United States,"Missouri University of Science and Technology, USA", USA
484,South China University of Technology,China,"South China University of Technology, CHN", CHN
485,Yokohama City University,Japan,"Yokohama City University, JPN", JPN
486,University of Campinas,Brazil,"University of Campinas, BRA", BRA
487,Shenzhen University,China,"Shenzhen University, CHN", CHN
488,Florida International University,United States,"Florida International University, USA", USA
489,Keele University,United Kingdom,"Keele University, GBR", GBR
490,KoïṡẄ University,Turkey,"KoïṡẄ University, TUR", TUR
491,Louisiana State University,United States,"Louisiana State University, USA", USA
492,Northern Arizona University,United States,"Northern Arizona University, USA", USA
493,University of Rovira i Virgili,Spain,"University of Rovira i Virgili, ESP", ESP
494,Bar-Ilan University,Israel,"Bar-Ilan University, ISR", ISR
495,University of Greifswald,Germany,"University of Greifswald, DEU", DEU
496,University of Plymouth,United Kingdom,"University of Plymouth, GBR", GBR
497,University of JyvïṡẄskylïṡẄ,Finland,"University of JyvïṡẄskylïṡẄ, FIN", FIN
498,National and Kapodistrian University of Athens,Greece,"National and Kapodistrian University of Athens, GRC", GRC
499,Victoria University of Wellington,New Zealand,"Victoria University of Wellington, NZL", NZL
500,Catholic University of the Sacred Heart,Italy,"Catholic University of the Sacred Heart, ITA", ITA
501,King Saud University,Saudi Arabia,"King Saud University, SAU", SAU
502,University of NeuchïṡẄtel,Switzerland,"University of NeuchïṡẄtel, CHE", CHE
503,University of LïṡẄAquila,Italy,"University of LïṡẄAquila, ITA", ITA
504,Aston University,United Kingdom,"Aston University, GBR", GBR
505,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,"National Taiwan University of Science and Technology (Taiwan Tech), TWN", TWN
506,University of the West of Scotland,United Kingdom,"University of the West of Scotland, GBR", GBR
507,National Yang-Ming University,Taiwan,"National Yang-Ming University, TWN", TWN
508,Norwegian University of Life Sciences,Norway,"Norwegian University of Life Sciences, NOR", NOR
509,Universidad Peruana Cayetano Heredia,Peru,"Universidad Peruana Cayetano Heredia, PER", PER
510,Suez Canal University,Egypt,"Suez Canal University, EGY", EGY
511,Complutense University of Madrid,Spain,"Complutense University of Madrid, ESP", ESP
512,University of Ibadan,Nigeria,"University of Ibadan, NGA", NGA
513,Claude Bernard University Lyon 1,France,"Claude Bernard University Lyon 1, FRA", FRA
514,Renmin University of China,China,"Renmin University of China, CHN", CHN
515,CentraleSupïṡẄlec,France,"CentraleSupïṡẄlec, FRA", FRA
516,Carleton University,Canada,"Carleton University, CAN", CAN
517,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,"King Saud bin Abdulaziz University for Health Sciences, SAU", SAU
518,University of Udine,Italy,"University of Udine, ITA", ITA
519,UniversitïṡẄ Bourgogne Franche-ComtïṡẄ (UBFC),France,"UniversitïṡẄ Bourgogne Franche-ComtïṡẄ (UBFC), FRA", FRA
520,University of Lisbon,Portugal,"University of Lisbon, PRT", PRT
521,Indian Institute of Technology Roorkee,India,"Indian Institute of Technology Roorkee, IND", IND
522,University of Rome II ïṡẄ Tor Vergata,Italy,"University of Rome II ïṡẄ Tor Vergata, ITA", ITA
523,Graz University of Technology,Austria,"Graz University of Technology, AUT", AUT
524,University of Hull,United Kingdom,"University of Hull, GBR", GBR
525,East China Normal University,China,"East China Normal University, CHN", CHN
526,University of Haifa,Israel,"University of Haifa, ISR", ISR
527,University of Insubria,Italy,"University of Insubria, ITA", ITA
528,Bilkent University,Turkey,"Bilkent University, TUR", TUR
529,Polytechnic University of Turin,Italy,"Polytechnic University of Turin, ITA", ITA
530,Soochow University,China,"Soochow University, CHN", CHN
531,University of Wisconsin-Milwaukee,United States,"University of Wisconsin-Milwaukee, USA", USA
532,Hamburg University of Technology,Germany,"Hamburg University of Technology, DEU", DEU
533,University of Idaho,United States,"University of Idaho, USA", USA
534,University of Limerick,Ireland,"University of Limerick, IRL", IRL
535,Tianjin University,China,"Tianjin University, CHN", CHN
536,XiïṡẄan Jiaotong University,China,"XiïṡẄan Jiaotong University, CHN", CHN
537,Memorial University of Newfoundland,Canada,"Memorial University of Newfoundland, CAN", CAN
538,San Diego State University,United States,"San Diego State University, USA", USA
539,University of Guelph,Canada,"University of Guelph, CAN", CAN
540,Hacettepe University,Turkey,"Hacettepe University, TUR", TUR
541,Lappeenranta-Lahti University of Technology LUT,Finland,"Lappeenranta-Lahti University of Technology LUT, FIN", FIN
542,Mashhad University of Medical Sciences,Iran,"Mashhad University of Medical Sciences, IRN", IRN
543,North-West University,South Africa,"North-West University, ZAF", ZAF
544,Amirkabir University of Technology,Iran,"Amirkabir University of Technology, IRN", IRN
545,National Chiao Tung University,Taiwan,"National Chiao Tung University, TWN", TWN
546,New Jersey Institute of Technology,United States,"New Jersey Institute of Technology, USA", USA
547,University of Rome III,Italy,"University of Rome III, ITA", ITA
548,Sharif University of Technology,Iran,"Sharif University of Technology, IRN", IRN
549,University of Waikato,New Zealand,"University of Waikato, NZL", NZL
550,University of Kashan,Iran,"University of Kashan, IRN", IRN
551,Pontifical Catholic University of Chile,Chile,"Pontifical Catholic University of Chile, CHL", CHL
552,University of Siegen,Germany,"University of Siegen, DEU", DEU
553,Southeast University,China,"Southeast University, CHN", CHN
554,"Binghamton University, State University of New York",United States,"Binghamton University, State University of New York, USA", State University of New York
555,King Fahd University of Petroleum and Minerals,Saudi Arabia,"King Fahd University of Petroleum and Minerals, SAU", SAU
556,Lincoln University,New Zealand,"Lincoln University, NZL", NZL
557,The University of the West Indies,Jamaica,"The University of the West Indies, JAM", JAM
558,University of Alabama in Huntsville,United States,"University of Alabama in Huntsville, USA", USA
559,Charles Darwin University,Australia,"Charles Darwin University, AUS", AUS
560,Institute of Chemical Technology,India,"Institute of Chemical Technology, IND", IND
561,University of Wuppertal,Germany,"University of Wuppertal, DEU", DEU
562,Xiamen University,China,"Xiamen University, CHN", CHN
563,"China Medical University, Taiwan",Taiwan,"China Medical University, Taiwan, TWN", Taiwan
564,University of Graz,Austria,"University of Graz, AUT", AUT
565,Indian Institute of Technology Gandhinagar,India,"Indian Institute of Technology Gandhinagar, IND", IND
566,University of Nebraska Medical Center,United States,"University of Nebraska Medical Center, USA", USA
567,University of Rhode Island,United States,"University of Rhode Island, USA", USA
568,Tehran University of Medical Sciences,Iran,"Tehran University of Medical Sciences, IRN", IRN
569,Universiti Tunku Abdul Rahman (UTAR),Malaysia,"Universiti Tunku Abdul Rahman (UTAR), MYS", MYS
570,Universidad AutïṡẄnoma de Chile,Chile,"Universidad AutïṡẄnoma de Chile, CHL", CHL
571,Kansai Medical University,Japan,"Kansai Medical University, JPN", JPN
572,Beihang University,China,"Beihang University, CHN", CHN
573,Marche Polytechnic University,Italy,"Marche Polytechnic University, ITA", ITA
574,The Open University,United Kingdom,"The Open University, GBR", GBR
575,Open University of Catalonia,Spain,"Open University of Catalonia, ESP", ESP
576,University of Brescia,Italy,"University of Brescia, ITA", ITA
577,Massey University,New Zealand,"Massey University, NZL", NZL
578,University of Coimbra,Portugal,"University of Coimbra, PRT", PRT
579,Dublin City University,Ireland,"Dublin City University, IRL", IRL
580,University of Kaiserslautern,Germany,"University of Kaiserslautern, DEU", DEU
581,West Virginia University,United States,"West Virginia University, USA", USA
582,Makerere University,Uganda,"Makerere University, UGA", UGA
583,Stevens Institute of Technology,United States,"Stevens Institute of Technology, USA", USA
584,University of the Western Cape,South Africa,"University of the Western Cape, ZAF", ZAF
585,University of Windsor,Canada,"University of Windsor, CAN", CAN
586,University of Central Florida,United States,"University of Central Florida, USA", USA
587,Concordia University,Canada,"Concordia University, CAN", CAN
588,Jagiellonian University,Poland,"Jagiellonian University, POL", POL
589,University of Costa Rica,Costa Rica,"University of Costa Rica, CRI", CRI
590,Montana State University,United States,"Montana State University, USA", USA
591,NOVA University of Lisbon,Portugal,"NOVA University of Lisbon, PRT", PRT
592,Polytechnic University of Catalonia,Spain,"Polytechnic University of Catalonia, ESP", ESP
593,Iran University of Science and Technology,Iran,"Iran University of Science and Technology, IRN", IRN
594,University of Lincoln,United Kingdom,"University of Lincoln, GBR", GBR
595,University of Parma,Italy,"University of Parma, ITA", ITA
596,Baylor University,United States,"Baylor University, USA", USA
597,Johannes Kepler University of Linz,Austria,"Johannes Kepler University of Linz, AUT", AUT
598,Mahidol University,Thailand,"Mahidol University, THA", THA
599,University of Southern Queensland,Australia,"University of Southern Queensland, AUS", AUS
600,University of Lorraine,France,"University of Lorraine, FRA", FRA
601,National Institute of Applied Sciences of Lyon (INSA Lyon),France,"National Institute of Applied Sciences of Lyon (INSA Lyon), FRA", FRA
602,University of Salento,Italy,"University of Salento, ITA", ITA
603,National Cheng Kung University (NCKU),Taiwan,"National Cheng Kung University (NCKU), TWN", TWN
604,Aristotle University of Thessaloniki,Greece,"Aristotle University of Thessaloniki, GRC", GRC
605,University of Electronic Science and Technology of China,China,"University of Electronic Science and Technology of China, CHN", CHN
606,Lehigh University,United States,"Lehigh University, USA", USA
607,University of Nantes,France,"University of Nantes, FRA", FRA
608,Worcester Polytechnic Institute,United States,"Worcester Polytechnic Institute, USA", USA
609,"Indian Institute of Science Education and Research, Pune",India,"Indian Institute of Science Education and Research, Pune, IND", Pune
610,Amedeo Avogadro University of Eastern Piedmont,Italy,"Amedeo Avogadro University of Eastern Piedmont, ITA", ITA
611,University of La Laguna,Spain,"University of La Laguna, ESP", ESP
612,Mae Fah Luang University,Thailand,"Mae Fah Luang University, THA", THA
613,Texas Tech University,United States,"Texas Tech University, USA", USA
614,Northwestern Polytechnical University,China,"Northwestern Polytechnical University, CHN", CHN
615,UniversitïṡẄ de Sherbrooke,Canada,"UniversitïṡẄ de Sherbrooke, CAN", CAN
616,University of Bergamo,Italy,"University of Bergamo, ITA", ITA
617,Indian Institute of Technology Madras,India,"Indian Institute of Technology Madras, IND", IND
618,Oxford Brookes University,United Kingdom,"Oxford Brookes University, GBR", GBR
619,ïṡẄcole normale supïṡẄrieure Paris-Saclay,France,"ïṡẄcole normale supïṡẄrieure Paris-Saclay, FRA", FRA
620,Nanjing University of Information Science and Technology,China,"Nanjing University of Information Science and Technology, CHN", CHN
621,University of Calabria,Italy,"University of Calabria, ITA", ITA
622,China Agricultural University,China,"China Agricultural University, CHN", CHN
623,Ferhat Abbas SïṡẄtif University 1,Algeria,"Ferhat Abbas SïṡẄtif University 1, DZA", DZA
624,Kent State University,United States,"Kent State University, USA", USA
625,University of Palermo,Italy,"University of Palermo, ITA", ITA
626,Auburn University,United States,"Auburn University, USA", USA
627,University of Girona,Spain,"University of Girona, ESP", ESP
628,National Taiwan Normal University,Taiwan,"National Taiwan Normal University, TWN", TWN
629,Savitribai Phule Pune University,India,"Savitribai Phule Pune University, IND", IND
630,University of Toledo,United States,"University of Toledo, USA", USA
631,Federal University of Minas Gerais,Brazil,"Federal University of Minas Gerais, BRA", BRA
632,Metropolitan Autonomous University,Mexico,"Metropolitan Autonomous University, MEX", MEX
633,Nottingham Trent University,United Kingdom,"Nottingham Trent University, GBR", GBR
634,Shandong University,China,"Shandong University, CHN", CHN
635,Indian Institute of Technology Kanpur,India,"Indian Institute of Technology Kanpur, IND", IND
636,Beijing Institute of Technology,China,"Beijing Institute of Technology, CHN", CHN
637,"University of Maryland, Baltimore County",United States,"University of Maryland, Baltimore County, USA", Baltimore County
638,Southern Cross University,Australia,"Southern Cross University, AUS", AUS
639,Amrita Vishwa Vidyapeetham,India,"Amrita Vishwa Vidyapeetham, IND", IND
640,Iran University of Medical Sciences,Iran,"Iran University of Medical Sciences, IRN", IRN
641,University of Lille,France,"University of Lille, FRA", FRA
642,Manchester Metropolitan University,United Kingdom,"Manchester Metropolitan University, GBR", GBR
643,University of Huddersfield,United Kingdom,"University of Huddersfield, GBR", GBR
644,University of Johannesburg,South Africa,"University of Johannesburg, ZAF", ZAF
645,Bo?aziïṡẄi University,Turkey,"Bo?aziïṡẄi University, TUR", TUR
646,Nanjing Medical University,China,"Nanjing Medical University, CHN", CHN
647,UniversitïṡẄ du QuïṡẄbec,Canada,"UniversitïṡẄ du QuïṡẄbec, CAN", CAN
648,Roskilde University,Denmark,"Roskilde University, DNK", DNK
649,Universiti Teknologi Malaysia,Malaysia,"Universiti Teknologi Malaysia, MYS", MYS
650,University of the Balearic Islands,Spain,"University of the Balearic Islands, ESP", ESP
651,Federal University of Rio Grande do Sul,Brazil,"Federal University of Rio Grande do Sul, BRA", BRA
652,University of Tehran,Iran,"University of Tehran, IRN", IRN
653,University of Aveiro,Portugal,"University of Aveiro, PRT", PRT
654,University of Granada,Spain,"University of Granada, ESP", ESP
655,University of the Sunshine Coast,Australia,"University of the Sunshine Coast, AUS", AUS
656,Imam Khomeini International University,Iran,"Imam Khomeini International University, IRN", IRN
657,Universiti Teknologi Petronas,Malaysia,"Universiti Teknologi Petronas, MYS", MYS
658,TU Braunschweig,Germany,"TU Braunschweig, DEU", DEU
659,COMSATS University Islamabad,Pakistan,"COMSATS University Islamabad, PAK", PAK
660,PanthïṡẄon-Sorbonne University ïṡẄ Paris 1,France,"PanthïṡẄon-Sorbonne University ïṡẄ Paris 1, FRA", FRA
661,Kansas State University,United States,"Kansas State University, USA", USA
662,Tokyo Metropolitan University,Japan,"Tokyo Metropolitan University, JPN", JPN
663,University of Tours,France,"University of Tours, FRA", FRA
664,Keio University,Japan,"Keio University, JPN", JPN
665,King Khalid University,Saudi Arabia,"King Khalid University, SAU", SAU
666,Creighton University,United States,"Creighton University, USA", USA
667,Chemnitz University of Technology,Germany,"Chemnitz University of Technology, DEU", DEU
668,University of Delhi,India,"University of Delhi, IND", IND
669,IDC Herzliya,Israel,"IDC Herzliya, ISR", ISR
670,University of Ioannina,Greece,"University of Ioannina, GRC", GRC
671,Sichuan University,China,"Sichuan University, CHN", CHN
672,ïṡẄbo Akademi University,Finland,"ïṡẄbo Akademi University, FIN", FIN
673,Panjab University,India,"Panjab University, IND", IND
674,University of Clermont Auvergne,France,"University of Clermont Auvergne, FRA", FRA
675,Federal University of Santa Catarina,Brazil,"Federal University of Santa Catarina, BRA", BRA
676,University of Pretoria,South Africa,"University of Pretoria, ZAF", ZAF
677,Old Dominion University,United States,"Old Dominion University, USA", USA
678,University of Rennes 1,France,"University of Rennes 1, FRA", FRA
679,Shahid Beheshti University of Medical Sciences,Iran,"Shahid Beheshti University of Medical Sciences, IRN", IRN
680,CaïṡẄ Foscari University of Venice,Italy,"CaïṡẄ Foscari University of Venice, ITA", ITA
681,University of Texas at Arlington,United States,"University of Texas at Arlington, USA", USA
682,Federal University of SïṡẄo Paulo (UNIFESP),Brazil,"Federal University of SïṡẄo Paulo (UNIFESP), BRA", BRA
683,"University of Nevada, Las Vegas",United States,"University of Nevada, Las Vegas, USA", Las Vegas
684,Thapar University,India,"Thapar University, IND", IND
685,EïṡẄtvïṡẄs LorïṡẄnd University,Hungary,"EïṡẄtvïṡẄs LorïṡẄnd University, HUN", HUN
686,Indian Institute of Technology Hyderabad,India,"Indian Institute of Technology Hyderabad, IND", IND
687,Isfahan University of Technology,Iran,"Isfahan University of Technology, IRN", IRN
688,Kafrelsheikh University,Egypt,"Kafrelsheikh University, EGY", EGY
689,PalackïṡẄ University Olomouc,Czech Republic,"PalackïṡẄ University Olomouc, CZE", CZE
690,Universiti Putra Malaysia,Malaysia,"Universiti Putra Malaysia, MYS", MYS
691,University of South Dakota,United States,"University of South Dakota, USA", USA
692,De Montfort University,United Kingdom,"De Montfort University, GBR", GBR
693,University of Warsaw,Poland,"University of Warsaw, POL", POL
694,Masaryk University,Czech Republic,"Masaryk University, CZE", CZE
695,New Mexico State University (Main campus),United States,"New Mexico State University (Main campus), USA", USA
696,Clemson University,United States,"Clemson University, USA", USA
697,Glasgow Caledonian University,United Kingdom,"Glasgow Caledonian University, GBR", GBR
698,Jaume I University,Spain,"Jaume I University, ESP", ESP
699,Universiti Kebangsaan Malaysia,Malaysia,"Universiti Kebangsaan Malaysia, MYS", MYS
700,"China University of Petroleum, Beijing",China,"China University of Petroleum, Beijing, CHN", Beijing
701,Dalian University of Technology,China,"Dalian University of Technology, CHN", CHN
702,Universiti Sains Malaysia,Malaysia,"Universiti Sains Malaysia, MYS", MYS
703,Ulster University,United Kingdom,"Ulster University, GBR", GBR
704,Banaras Hindu University,India,"Banaras Hindu University, IND", IND
705,University of Lleida,Spain,"University of Lleida, ESP", ESP
706,Universiti Malaysia Perlis,Malaysia,"Universiti Malaysia Perlis, MYS", MYS
707,Monterrey Institute of Technology,Mexico,"Monterrey Institute of Technology, MEX", MEX
708,Tabriz University of Medical Sciences,Iran,"Tabriz University of Medical Sciences, IRN", IRN
709,University of the Basque Country,Spain,"University of the Basque Country, ESP", ESP
710,Indian Institute of Technology Guwahati,India,"Indian Institute of Technology Guwahati, IND", IND
711,Miguel HernïṡẄndez University of Elche,Spain,"Miguel HernïṡẄndez University of Elche, ESP", ESP
712,Ohio University (Main campus),United States,"Ohio University (Main campus), USA", USA
713,Ryerson University,Canada,"Ryerson University, CAN", CAN
714,University of Santiago de Compostela,Spain,"University of Santiago de Compostela, ESP", ESP
715,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,"Pontifical Catholic University of Rio de Janeiro (PUC-Rio), BRA", BRA
716,University of the West of England,United Kingdom,"University of the West of England, GBR", GBR
717,University of Beira Interior,Portugal,"University of Beira Interior, PRT", PRT
718,Coventry University,United Kingdom,"Coventry University, GBR", GBR
719,Lakehead University,Canada,"Lakehead University, CAN", CAN
720,University of Sassari,Italy,"University of Sassari, ITA", ITA
721,"University of the Andes, Colombia",Colombia,"University of the Andes, Colombia, COL", Colombia
722,Kindai University,Japan,"Kindai University, JPN", JPN
723,Cairo University,Egypt,"Cairo University, EGY", EGY
724,University of Oviedo,Spain,"University of Oviedo, ESP", ESP
725,Shiraz University of Technology,Iran,"Shiraz University of Technology, IRN", IRN
726,Indian Institute of Technology Bhubaneswar,India,"Indian Institute of Technology Bhubaneswar, IND", IND
727,Istanbul Technical University,Turkey,"Istanbul Technical University, TUR", TUR
728,University of Ljubljana,Slovenia,"University of Ljubljana, SVN", SVN
729,University of North Carolina at Greensboro,United States,"University of North Carolina at Greensboro, USA", USA
730,University of Split,Croatia,"University of Split, HRV", HRV
731,University of Tabriz,Iran,"University of Tabriz, IRN", IRN
732,University of Arkansas,United States,"University of Arkansas, USA", USA
733,Central Queensland University,Australia,"Central Queensland University, AUS", AUS
734,University of Sharjah,United Arab Emirates,"University of Sharjah, ARE", ARE
735,University of Thessaly,Greece,"University of Thessaly, GRC", GRC
736,University of Salamanca,Spain,"University of Salamanca, ESP", ESP
737,Western Washington University,United States,"Western Washington University, USA", USA
738,Beni-Suef University,Egypt,"Beni-Suef University, EGY", EGY
739,Kobe University,Japan,"Kobe University, JPN", JPN
740,National Autonomous University of Mexico,Mexico,"National Autonomous University of Mexico, MEX", MEX
741,University of Greenwich,United Kingdom,"University of Greenwich, GBR", GBR
742,University of Leoben,Austria,"University of Leoben, AUT", AUT
743,University of Brighton,United Kingdom,"University of Brighton, GBR", GBR
744,ïṡẄcole Centrale de Lyon,France,"ïṡẄcole Centrale de Lyon, FRA", FRA
745,Nippon Medical School,Japan,"Nippon Medical School, JPN", JPN
746,University of Hertfordshire,United Kingdom,"University of Hertfordshire, GBR", GBR
747,Jawaharlal Nehru University,India,"Jawaharlal Nehru University, IND", IND
748,Nanjing Normal University,China,"Nanjing Normal University, CHN", CHN
749,National Technical University of Athens,Greece,"National Technical University of Athens, GRC", GRC
750,University of Regina,Canada,"University of Regina, CAN", CAN
751,Jiangsu Normal University,China,"Jiangsu Normal University, CHN", CHN
752,University of Malta,Malta,"University of Malta, MLT", MLT
753,University of AlcalïṡẄ,Spain,"University of AlcalïṡẄ, ESP", ESP
754,Huazhong Agricultural University,China,"Huazhong Agricultural University, CHN", CHN
755,Jikei University School of Medicine,Japan,"Jikei University School of Medicine, JPN", JPN
756,University of Westminster,United Kingdom,"University of Westminster, GBR", GBR
757,Hiroshima University,Japan,"Hiroshima University, JPN", JPN
758,Middle East Technical University,Turkey,"Middle East Technical University, TUR", TUR
759,The University of Aizu,Japan,"The University of Aizu, JPN", JPN
760,University of International Business and Economics,China,"University of International Business and Economics, CHN", CHN
761,Jamia Millia Islamia,India,"Jamia Millia Islamia, IND", IND
762,Waseda University,Japan,"Waseda University, JPN", JPN
763,University of Indonesia,Indonesia,"University of Indonesia, IDN", IDN
764,Portland State University,United States,"Portland State University, USA", USA
765,Sidi Mohamed Ben Abdellah University,Morocco,"Sidi Mohamed Ben Abdellah University, MAR", MAR
766,University of Technology of CompiïṡẄgne,France,"University of Technology of CompiïṡẄgne, FRA", FRA
767,East China University of Science and Technology,China,"East China University of Science and Technology, CHN", CHN
768,ISCTE-University Institute of Lisbon,Portugal,"ISCTE-University Institute of Lisbon, PRT", PRT
769,Kurume University,Japan,"Kurume University, JPN", JPN
770,"LumiïṡẄre University, Lyon 2",France,"LumiïṡẄre University, Lyon 2, FRA", Lyon 2
771,University of Minho,Portugal,"University of Minho, PRT", PRT
772,Carlos III University of Madrid,Spain,"Carlos III University of Madrid, ESP", ESP
773,Edinburgh Napier University,United Kingdom,"Edinburgh Napier University, GBR", GBR
774,Marquette University,United States,"Marquette University, USA", USA
775,Nanjing Tech University,China,"Nanjing Tech University, CHN", CHN
776,Fuzhou University,China,"Fuzhou University, CHN", CHN
777,National Institute of Technology Rourkela,India,"National Institute of Technology Rourkela, IND", IND
778,University of PïṡẄcs,Hungary,"University of PïṡẄcs, HUN", HUN
779,University of Deusto,Spain,"University of Deusto, ESP", ESP
780,Pablo de Olavide University,Spain,"Pablo de Olavide University, ESP", ESP
781,University of Seville,Spain,"University of Seville, ESP", ESP
782,University of Texas at El Paso,United States,"University of Texas at El Paso, USA", USA
783,Guangdong University of Technology,China,"Guangdong University of Technology, CHN", CHN
784,Hyogo College of Medicine,Japan,"Hyogo College of Medicine, JPN", JPN
785,University of Lagos,Nigeria,"University of Lagos, NGA", NGA
786,Nanjing Agricultural University,China,"Nanjing Agricultural University, CHN", CHN
787,University of the Aegean,Greece,"University of the Aegean, GRC", GRC
788,Athens University of Economics and Business,Greece,"Athens University of Economics and Business, GRC", GRC
789,Chang Gung University,Taiwan,"Chang Gung University, TWN", TWN
790,Federal University of Rio de Janeiro,Brazil,"Federal University of Rio de Janeiro, BRA", BRA
791,University of Salford,United Kingdom,"University of Salford, GBR", GBR
792,University of Zaragoza,Spain,"University of Zaragoza, ESP", ESP
793,University of Bradford,United Kingdom,"University of Bradford, GBR", GBR
794,Florida Atlantic University,United States,"Florida Atlantic University, USA", USA
